t,x,y,th,v,omega,acc,gamma
24.3,49.188,90.865,0.030763,3.2792,0.019108,0.35465,0.78842
24.4,49.272,90.824,0.27508,3.2405,-0.55612,0.38685,0.36899
24.5,49.356,90.782,0.1733,3.2022,0.23168,0.38292,-0.50534
24.6,49.439,90.741,0.17043,3.2167,0.0065207,-0.14489,0.14443
24.7,49.523,90.7,0.3509,3.1876,-0.41078,0.29122,0.26769
24.8,49.607,90.658,0.052448,3.1678,0.67935,0.19829,-0.69928
24.9,49.691,90.617,0.38478,3.1559,-0.75647,0.1187,0.92103
25,49.774,90.576,0.42843,3.121,-0.099352,0.34925,-0.42152
25.1,49.973,90.549,0.45227,3.1848,-0.054256,-0.638,-0.028928
25.2,50.171,90.523,0.30732,3.2778,0.32994,-0.93051,-0.24644
25.3,50.369,90.497,0.40891,3.3678,-0.23124,-0.89988,0.35998
25.4,50.567,90.471,0.26696,3.4179,0.32312,-0.50112,-0.3556
25.5,50.766,90.444,0.32982,3.3197,-0.14308,0.98265,0.29905
25.6,50.964,90.418,0.58804,3.2823,-0.58778,0.37389,0.28526
25.7,51.162,90.392,0.11358,3.1947,1.08,0.87612,-1.0698
25.8,51.36,90.365,0.39852,3.181,-0.64857,0.13624,1.1088
25.9,51.559,90.339,0.59622,3.2013,-0.45001,-0.20219,-0.12736
26,51.757,90.313,0.26399,3.2712,0.75623,-0.6994,-0.77376
26.1,51.955,90.287,0.12229,3.2801,0.32254,-0.089318,0.2782
26.2,52.154,90.26,0.52116,3.3669,-0.90792,-0.86758,0.7893
26.3,52.352,90.234,0.068024,3.4656,1.0314,-0.98655,-1.244
26.4,52.55,90.208,0.53917,3.3801,-1.0724,0.85406,1.3495
26.5,52.748,90.181,0.36824,3.4721,0.38907,-0.91944,-0.93749
26.6,52.947,90.155,0.51406,3.3945,-0.33192,0.77543,0.46249
26.7,53.145,90.129,0.49899,3.3466,0.034304,0.47921,-0.23492
26.8,53.343,90.102,0.30782,3.3596,0.43513,-0.13013,-0.25712
26.9,53.541,90.076,0.54191,3.3467,-0.53284,0.12974,0.62092
27,53.74,90.05,0.21136,3.3437,0.75242,0.029329,-0.82444
